url,title,date,word_count,sentiment_score,time,time-blindness,lateness,schedule,deadlines,adhd,planning,procrastination,delay,task,focus
https://www.additudemag.com/how-to-plan-ahead-when-you-have-adhd-understand-time/,How to Plan Ahead When You Have ADHD: Understand Time,,1044,-5,40,0,0,0,1,16,3,1,1,7,3
https://www.additudemag.com/slideshows/stop-wasting-time/,Time Blindness: 12 Ways to Stop Wasting Time with ADHD,,823,2,43,1,0,2,3,9,1,0,0,2,1
https://www.additudemag.com/time-on-your-side/,Organization Help for ADHD Adults: The Solve-It Grid,,1125,4,24,0,0,0,0,10,0,1,1,23,1
https://psychcentral.com/adhd/why-are-people-with-adhd-always-late,Why Am I Always Late?: Common Traits and Reasons,,394,-3,17,3,5,0,0,10,1,0,0,2,0
https://psychcentral.com/adhd/time-management-tips-for-people-with-adhd,Time Management and ADHD: Tips for Success | Psych Central,,936,5,37,3,0,6,0,15,2,1,0,19,9
https://psychcentral.com/adhd/the-adhd-iceberg,The ADHD Iceberg: Visible vs. Invisible Symptoms | Psych Central,,597,7,0,0,0,0,0,34,0,0,0,0,0
